tanggal,temp_min_c,temp_max_c,temp_avg_c,humidity_avg_percent,precip_mm,sunshine_duration_hours,wind_speed_max_ms,wind_dir_max_deg,wind_speed_avg_ms,wind_dir_common_deg,source_file
2013-01-01,24.0,31.8,26.2,91.0,1.7,3.5,6,310,3,NW,laporan_iklim_harian-250525120910.xlsx
2013-02-01,25.0,31.4,27.9,79.0,0.0,1.2,4,300,3,NW,laporan_iklim_harian-250525120910.xlsx
2013-03-01,26.0,32.6,28.6,79.0,1.3,3.5,5,320,4,NW,laporan_iklim_harian-250525120910.xlsx
2013-04-01,25.0,30.2,26.3,86.0,34.4,0.4,9,270,5,W,laporan_iklim_harian-250525120910.xlsx
2013-05-01,24.0,30.8,26.6,82.0,6.4,4.8,7,270,4,W,laporan_iklim_harian-250525120910.xlsx
2013-06-01,23.0,29.8,26.5,84.0,0.0,0.4,8,290,5,W,laporan_iklim_harian-250525120910.xlsx
2013-07-01,23.0,32.6,27.6,79.0,3.5,2.8,5,240,3,W,laporan_iklim_harian-250525120910.xlsx
2013-08-01,24.0,29.0,26.4,86.0,7.4,0.5,8,250,5,W,laporan_iklim_harian-250525120910.xlsx
2013-09-01,24.0,27.0,24.7,93.0,22.3,1.0,10,280,4,W,laporan_iklim_harian-250525120910.xlsx
2013-10-01,23.0,32.6,26.6,81.0,20.0,0.0,10,260,5,W,laporan_iklim_harian-250525120910.xlsx
2013-11-01,24.0,31.4,27.5,77.0,0.0,0.0,11,280,4,W,laporan_iklim_harian-250525120910.xlsx
2013-12-01,25.0,31.6,26.6,82.0,98.1,1.7,7,340,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-13,23.0,30.6,26.8,86.0,3.0,2.2,4,290,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-14,25.0,30.2,27.3,85.0,55.7,2.0,8,310,4,W,laporan_iklim_harian-250525120910.xlsx
2013-01-15,24.0,30.0,25.7,92.0,37.9,0.0,4,280,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-16,23.0,28.8,26.3,90.0,81.0,0.0,2,320,2,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-17,23.0,27.6,25.2,96.0,193.4,0.0,3,280,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-18,23.0,28.4,26.2,90.0,1.4,0.0,2,320,2,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-19,24.0,32.2,27.8,81.0,16.6,5.6,7,290,5,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-20,24.0,30.4,27.5,82.0,3.4,0.5,4,310,2,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-21,25.0,32.0,28.6,78.0,0.0,2.2,4,260,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-22,26.0,31.2,26.8,86.0,0.0,0.0,3,270,2,W,laporan_iklim_harian-250525120910.xlsx
2013-01-23,24.0,31.2,26.5,85.0,10.2,5.4,7,270,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-24,25.0,30.2,27.3,84.0,2.3,0.0,6,340,3,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-25,25.0,27.8,26.0,90.0,11.6,0.0,3,310,2,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-26,24.0,31.0,27.2,84.0,0.0,4.5,4,350,3,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-27,25.0,31.4,27.7,80.0,0.0,2.5,7,340,4,W,laporan_iklim_harian-250525120910.xlsx
2013-01-28,25.0,30.0,27.2,82.0,0.8,0.2,4,250,3,W,laporan_iklim_harian-250525120910.xlsx
2013-01-29,26.0,31.2,28.0,80.0,9.5,3.8,6,340,3,NW,laporan_iklim_harian-250525120910.xlsx
2013-01-30,24.0,30.4,27.1,84.0,0.0,3.0,3,40,2,NE,laporan_iklim_harian-250525120910.xlsx
2013-01-02,25.0,33.6,28.7,75.0,0.1,5.7,4,350,2,N,laporan_iklim_harian-250525120917.xlsx
2013-02-02,25.0,30.2,26.9,88.0,3.3,0.8,5,330,2,N,laporan_iklim_harian-250525120917.xlsx
2013-03-02,25.0,33.0,27.0,76.0,0.0,8.0,5,20,3,N,laporan_iklim_harian-250525120917.xlsx
2013-04-02,23.0,32.2,29.1,76.0,23.0,3.0,10,20,2,NE,laporan_iklim_harian-250525120917.xlsx
2013-06-02,24.0,33.0,28.6,74.0,35.6,0.8,9,270,3,W,laporan_iklim_harian-250525120917.xlsx
2013-07-02,24.0,32.8,27.9,82.0,0.0,4.4,3,250,2,N,laporan_iklim_harian-250525120917.xlsx
2013-08-02,25.0,34.0,28.2,78.0,0.0,8.0,2,20,2,N,laporan_iklim_harian-250525120917.xlsx
2013-09-02,26.0,34.0,28.8,78.0,0.1,6.2,7,300,3,W,laporan_iklim_harian-250525120917.xlsx
2013-10-02,25.0,32.6,28.0,80.0,0.5,6.0,4,350,3,N,laporan_iklim_harian-250525120917.xlsx
2013-11-02,26.0,31.8,28.3,79.0,0.0,0.8,4,30,3,NE,laporan_iklim_harian-250525120917.xlsx
2013-12-02,24.0,32.0,28.5,78.0,5.8,3.6,3,30,2,N,laporan_iklim_harian-250525120917.xlsx
2013-02-13,25.0,32.8,27.5,82.0,1.8,7.7,4,350,3,N,laporan_iklim_harian-250525120917.xlsx
2013-02-14,25.0,28.8,26.3,88.0,4.9,0.0,5,260,3,W,laporan_iklim_harian-250525120917.xlsx
2013-02-15,25.0,32.8,27.9,77.0,0.0,7.0,4,340,3,W,laporan_iklim_harian-250525120917.xlsx
2013-02-16,24.0,31.4,28.4,76.0,28.1,2.0,5,310,3,NW,laporan_iklim_harian-250525120917.xlsx
2013-02-17,24.0,30.4,25.9,87.0,1.6,0.0,5,280,3,NW,laporan_iklim_harian-250525120917.xlsx
2013-02-18,23.0,30.4,26.5,86.0,6.0,0.3,6,300,3,W,laporan_iklim_harian-250525120917.xlsx
2013-02-20,23.0,30.6,27.9,82.0,16.9,1.5,6,340,3,W,laporan_iklim_harian-250525120917.xlsx
2013-02-21,24.0,31.8,27.6,80.0,3.4,5.5,4,320,2,N,laporan_iklim_harian-250525120917.xlsx
2013-02-22,24.0,31.2,27.8,80.0,6.3,1.6,6,350,3,N,laporan_iklim_harian-250525120917.xlsx
2013-02-23,25.0,30.0,27.0,84.0,6.0,1.3,6,360,3,W,laporan_iklim_harian-250525120917.xlsx
